frequency_GHz,gain_dB,frequency_GHz,gain_dB,frequency_GHz,gain_dB
1,0.445849927,1,0.445849927,1,0.445849927
1.01,0.447055073,1.1,0.423905274,1.001,0.446001968
1.02,0.44762823,1.2,0.319429503,1.002,0.446147054
1.03,0.447731031,1.3,0.151747546,1.003,0.446285115
1.04,0.447219314,1.4,-0.034904809,1.004,0.44641607
1.05,0.44557099,1.5,-0.159068258,1.005,0.446539895
1.06,0.442925448,1.6,-0.096412214,1.006,0.446656632
1.07,0.43953346,1.7,0.276535589,1.007,0.44676638
1.08,0.435522836,1.8,0.987123754,1.008,0.446869271
1.09,0.430306727,1.9,2.0240599,1.009,0.446965451
1.1,0.423905274,2,3.190982214,1.01,0.447055073
1.11,0.416616399,2.1,4.509709682,1.011,0.447138289
1.12,0.408505666,2.2,5.705510052,1.012,0.447215252
1.13,0.399410568,2.3,7.026565961,1.013,0.447286117
1.14,0.389764501,2.4,8.120065562,1.014,0.447351051
1.15,0.379567791,2.5,9.321948117,1.015,0.447410239
1.16,0.368717734,2.6,10.20270874,1.016,0.447463889
1.17,0.357302416,2.7,11.30990445,1.017,0.447512236
1.18,0.345353645,2.8,12.02461081,1.018,0.447555549
1.19,0.332788546,2.9,12.99159258,1.019,0.447594117
1.2,0.319429503,3,13.57781775,1.02,0.44762823
1.21,0.305331739,3.1,14.36752974,1.021,0.447658146
1.22,0.290484453,3.2,14.88256649,1.022,0.447684033
1.23,0.274931867,3.3,15.47819483,1.023,0.447705921
1.24,0.258703537,3.4,15.9198875,1.024,0.44772368
1.25,0.241842349,3.5,16.33524747,1.025,0.447737055
1.26,0.224417925,3.6,17.01236821,1.026,0.447745761
1.27,0.206579351,3.7,16.97743089,1.027,0.447749588
1.28,0.188469917,3.8,17.79427177,1.028,0.447748435
1.29,0.170167527,3.9,17.62018708,1.029,0.447742272
1.3,0.151747546,4,18.33965824,1.03,0.447731031
1.31,0.133434757,4.1,18.2223746,1.031,0.447714512
1.32,0.114968381,4.2,18.60434829,1.032,0.447692322
1.33,0.096264678,4.3,18.83131377,1.033,0.44766387
1.34,0.077425358,4.4,18.72598929,1.034,0.447628394
1.35,0.058569091,4.5,19.3257933,1.035,0.44758502
1.36,0.0397686,4.6,18.8852348,1.036,0.447532832
1.37,0.020850258,4.7,19.53468117,1.037,0.44747093
1.38,0.00199105,4.8,19.17045421,1.038,0.447398492
1.39,-0.016698834,4.9,19.47673774,1.039,0.447314811
1.4,-0.034904809,5,19.52539883,1.04,0.447219314
1.41,-0.052418873,5.1,19.33894696,1.041,0.447111563
1.42,-0.069372059,5.2,19.75179678,1.042,0.446991247
1.43,-0.085573992,5.3,19.27929261,1.043,0.446858161
1.44,-0.100657588,5.4,19.71025931,1.044,0.446712185
1.45,-0.114329239,5.5,19.37822052,1.045,0.446553271
1.46,-0.126601929,5.6,19.53089751,1.046,0.446381452
1.47,-0.137367497,5.7,19.5034392,1.047,0.446196871
1.48,-0.146490232,5.8,19.28288386,1.048,0.445999842
1.49,-0.153739821,5.9,19.49381874,1.049,0.445790929
1.5,-0.159068258,6,19.16784975,1.05,0.44557099
1.51,-0.162383059,6.1,19.36415993,1.051,0.445341128
1.52,-0.163664028,6.2,19.09102767,1.052,0.445102521
1.53,-0.163174783,6.3,19.12158108,1.053,0.444856155
1.54,-0.160650882,6.4,19.05986863,1.054,0.444602618
1.55,-0.155987554,6.5,18.92228399,1.055,0.444342054
1.56,-0.14907692,6.6,18.89639295,1.056,0.444074281
1.57,-0.139916606,6.7,18.71271648,1.057,0.443798979
1.58,-0.128293884,6.8,18.77216073,1.058,0.443515848
1.59,-0.113907222,6.9,18.53295869,1.059,0.443224692
1.6,-0.096412214,7,18.50464272,1.06,0.442925448
1.61,-0.075729001,7.1,18.35632597,1.061,0.442618173
1.62,-0.051696175,7.2,18.33585528,1.062,0.442303025
1.63,-0.023905406,7.3,18.03076339,1.063,0.441980237
1.64,0.007711399,7.4,18.01806154,1.064,0.441650096
1.65,0.043335821,7.5,17.83222788,1.065,0.441312924
1.66,0.082809026,7.6,17.49196793,1.066,0.440969063
1.67,0.126043565,7.7,17.3684023,1.067,0.440618863
1.68,0.172791908,7.8,16.69137819,1.068,0.440262662
1.69,0.223063502,7.9,16.41804264,1.069,0.439900772
1.7,0.276535589,8,14.90122697,1.07,0.43953346
1.71,0.333125823,8.1,12.90520501,1.071,0.43916093
1.72,0.392803915,8.2,6.560133013,1.072,0.438783291
1.73,0.455453385,8.3,2.142266611,1.073,0.438400529
1.74,0.521288684,8.4,3.276034922,1.074,0.438012452
1.75,0.590480517,8.5,2.698080214,1.075,0.437618616
1.76,0.662499863,8.6,10.94633294,1.076,0.437218237
1.77,0.737297725,8.7,2.152165939,1.077,0.436810124
1.78,0.814848252,8.8,-49.73667816,1.078,0.436392701
1.79,0.899350016,8.9,1.116848837,1.079,0.435964178
1.8,0.987123754,9,5.496250706,1.08,0.435522836
1.81,1.078090111,9.1,11.76469341,1.081,0.435067314
1.82,1.172255174,9.2,13.95623052,1.082,0.43459676
1.83,1.270456065,9.3,15.68053818,1.083,0.434110834
1.84,1.372050298,9.4,16.02306013,1.084,0.433609591
1.85,1.475919377,9.5,16.69466652,1.085,0.43309336
1.86,1.58193706,9.6,16.87466017,1.086,0.432562634
1.87,1.690561572,9.7,17.32070829,1.087,0.432017993
1.88,1.80104282,9.8,17.52768181,1.088,0.431460052
1.89,1.912319885,9.9,17.54337421,1.089,0.430889431
1.9,2.0240599,10,17.89047877,1.09,0.430306727
1.91,2.136107882,10.1,17.97167652,1.091,0.429712498
