Cg,Cc,Cn,gain,bandwidth,ripple,,bandwidth,gain,
6.71148e-15,1.53468e-14,1.69204e-14,16.1322,7.9,0.0998312,,7.9,16.1322,
6.71148e-15,1.53468e-14,1.69204e-14,16.1322,7.9,0.0998312,,7.9,16.1322,
9.79837e-15,2.58358e-14,2.5759e-16,2.76953,12.9,0.0652912,,12.9,2.76953,
7.37057e-15,1.5513e-14,1.54359e-14,16.1237,8.1,0.0998857,,8.1,16.1237,
1e-15,1.89175e-14,2.47726e-14,15.313,9.9,0.0945236,,9.9,15.313,
9.30722e-15,2.35926e-14,3.48304e-15,6.28042,12.3,0,,12.3,6.28042,
4.98294e-15,2.42058e-14,1.15184e-14,3.89111,12.4,0,,12.4,3.89111,
9.79837e-15,2.58358e-14,2.5759e-16,2.76953,12.9,0.0652912,,12.9,2.76953,
1.06606e-14,2.42839e-14,8.51519e-17,3.56457,12.5,0,,12.5,3.56457,
5.39807e-15,1.95887e-14,1.53053e-14,14.7874,10.3,0,,10.3,14.7874,
9.45803e-15,2.26956e-14,4.07844e-15,9.3085,11.9,0,,11.9,9.3085,
9.5837e-15,2.26529e-14,3.86979e-15,9.43174,11.8,0,,11.8,9.43174,
1e-15,2.32552e-14,2.0435e-14,7.88912,12.1,0,,12.1,7.88912,
9.66932e-15,2.34937e-14,2.85775e-15,6.64455,12.2,0,,12.2,6.64455,
1e-15,2.3208e-14,2.04821e-14,8.05409,12,0,,12,8.05409,
1e-15,2.23169e-14,2.13732e-14,10.6775,11.7,0,,11.7,10.6775,
4.8432e-15,2.18846e-14,1.41191e-14,11.6035,11.4,0,,11.4,11.6035,
1.00002e-15,2.22814e-14,2.14087e-14,10.7639,11.6,0,,11.6,10.7639,
3.10199e-15,2.19559e-14,1.75302e-14,11.4873,11.5,0,,11.5,11.4873,
8.04436e-15,2.02861e-14,9.31528e-15,14.1552,10.7,0,,10.7,14.1552,
6.17688e-15,1.98372e-14,1.34992e-14,14.5894,10.5,0,,10.5,14.5894,最適値の例
5.48398e-15,2.10482e-14,1.3674e-14,13.143,11,0,,11,13.143,
6.71244e-15,2.06181e-14,1.16472e-14,13.7509,10.9,0,,10.9,13.7509,
3.14646e-15,2.14675e-14,1.79297e-14,12.4549,11.3,0,,11.3,12.4549,
1e-15,1.92203e-14,2.44698e-14,15.0984,10.1,0.0977898,,10.1,15.0984,
5.32723e-15,2.10815e-14,1.39542e-14,13.0921,11.1,0,,11.1,13.0921,
3.16368e-15,2.14335e-14,1.79292e-14,12.5151,11.2,0,,11.2,12.5151,
1e-15,1.89175e-14,2.47726e-14,15.313,9.9,0.0945236,,9.9,15.313,
8.04436e-15,2.02861e-14,9.31528e-15,14.1552,10.7,0,,10.7,14.1552,
6.74087e-15,2.06125e-14,1.15959e-14,13.7581,10.8,0,,10.8,13.7581,
9.66932e-15,2.34937e-14,2.85775e-15,6.64455,12.2,0,,12.2,6.64455,
1.06606e-14,2.42839e-14,8.51519e-17,3.56457,12.5,0,,12.5,3.56457,
4.98294e-15,2.42058e-14,1.15184e-14,3.89111,12.4,0,,12.4,3.89111,
7.37057e-15,1.5513e-14,1.54359e-14,16.1237,8.1,0.0998857,,8.1,16.1237,
6.17688e-15,1.98372e-14,1.34992e-14,14.5894,10.5,0,,10.5,14.5894,
1.00002e-15,1.91888e-14,2.45013e-14,15.1222,10,0.0973909,,10,15.1222,
1e-15,2.32552e-14,2.0435e-14,7.88912,12.1,0,,12.1,7.88912,
9.45803e-15,2.26956e-14,4.07844e-15,9.3085,11.9,0,,11.9,9.3085,
9.5837e-15,2.26529e-14,3.86979e-15,9.43174,11.8,0,,11.8,9.43174,
4.8432e-15,2.18846e-14,1.41191e-14,11.6035,11.4,0,,11.4,11.6035,
9.30722e-15,2.35926e-14,3.48304e-15,6.28042,12.3,0,,12.3,6.28042,
1.00002e-15,2.22814e-14,2.14087e-14,10.7639,11.6,0,,11.6,10.7639,
3.16368e-15,2.14335e-14,1.79292e-14,12.5151,11.2,0,,11.2,12.5151,
3.14646e-15,2.14675e-14,1.79297e-14,12.4549,11.3,0,,11.3,12.4549,
5.48398e-15,2.10482e-14,1.3674e-14,13.143,11,0,,11,13.143,
1.00002e-15,1.91888e-14,2.45013e-14,15.1222,10,0.0973909,,10,15.1222,
1e-15,1.92203e-14,2.44698e-14,15.0984,10.1,0.0977898,,10.1,15.0984,
6.74087e-15,2.06125e-14,1.15959e-14,13.7581,10.8,0,,10.8,13.7581,
9.30722e-15,2.35926e-14,3.48304e-15,6.28042,12.3,0,,12.3,6.28042,
1e-15,1.89175e-14,2.47726e-14,15.313,9.9,0.0945236,,9.9,15.313,
3.10199e-15,2.19559e-14,1.75302e-14,11.4873,11.5,0,,11.5,11.4873,
6.71244e-15,2.06181e-14,1.16472e-14,13.7509,10.9,0,,10.9,13.7509,
1e-15,2.23169e-14,2.13732e-14,10.6775,11.7,0,,11.7,10.6775,
1e-15,2.23169e-14,2.13732e-14,10.6775,11.7,0,,11.7,10.6775,
1e-15,2.3208e-14,2.04821e-14,8.05409,12,0,,12,8.05409,
1e-15,2.3208e-14,2.04821e-14,8.05409,12,0,,12,8.05409,
3.14646e-15,2.14675e-14,1.79297e-14,12.4549,11.3,0,,11.3,12.4549,
5.32723e-15,2.10815e-14,1.39542e-14,13.0921,11.1,0,,11.1,13.0921,
6.17688e-15,1.98372e-14,1.34992e-14,14.5894,10.5,0,,10.5,14.5894,
1e-15,2.3208e-14,2.04821e-14,8.05409,12,0,,12,8.05409,
3.10199e-15,2.19559e-14,1.75302e-14,11.4873,11.5,0,,11.5,11.4873,
1e-15,2.23169e-14,2.13732e-14,10.6775,11.7,0,,11.7,10.6775,
5.32723e-15,2.10815e-14,1.39542e-14,13.0921,11.1,0,,11.1,13.0921,
6.71148e-15,1.53468e-14,1.69204e-14,16.1322,7.9,0.0998312,,7.9,16.1322,
6.71244e-15,2.06181e-14,1.16472e-14,13.7509,10.9,0,,10.9,13.7509,
6.74087e-15,2.06125e-14,1.15959e-14,13.7581,10.8,0,,10.8,13.7581,
8.04436e-15,2.02861e-14,9.31528e-15,14.1552,10.7,0,,10.7,14.1552,
9.66932e-15,2.34937e-14,2.85775e-15,6.64455,12.2,0,,12.2,6.64455,
1e-15,1.89175e-14,2.47726e-14,15.313,9.9,0.0945236,,9.9,15.313,
4.98294e-15,2.42058e-14,1.15184e-14,3.89111,12.4,0,,12.4,3.89111,
8.04436e-15,2.02861e-14,9.31528e-15,14.1552,10.7,0,,10.7,14.1552,
9.5837e-15,2.26529e-14,3.86979e-15,9.43174,11.8,0,,11.8,9.43174,
1e-15,1.92203e-14,2.44698e-14,15.0984,10.1,0.0977898,,10.1,15.0984,
3.14646e-15,2.14675e-14,1.79297e-14,12.4549,11.3,0,,11.3,12.4549,
3.10199e-15,2.19559e-14,1.75302e-14,11.4873,11.5,0,,11.5,11.4873,
1e-15,2.3208e-14,2.04821e-14,8.05409,12,0,,12,8.05409,
6.17688e-15,1.98372e-14,1.34992e-14,14.5894,10.5,0,,10.5,14.5894,
8.04436e-15,2.02861e-14,9.31528e-15,14.1552,10.7,0,,10.7,14.1552,
4.8432e-15,2.18846e-14,1.41191e-14,11.6035,11.4,0,,11.4,11.6035,
6.17688e-15,1.98372e-14,1.34992e-14,14.5894,10.5,0,,10.5,14.5894,
9.30722e-15,2.35926e-14,3.48304e-15,6.28042,12.3,0,,12.3,6.28042,
3.14646e-15,2.14675e-14,1.79297e-14,12.4549,11.3,0,,11.3,12.4549,
3.14646e-15,2.14675e-14,1.79297e-14,12.4549,11.3,0,,11.3,12.4549,
9.79837e-15,2.58358e-14,2.5759e-16,2.76953,12.9,0.0652912,,12.9,2.76953,
9.66932e-15,2.34937e-14,2.85775e-15,6.64455,12.2,0,,12.2,6.64455,
